"","2199815454","7071524730","9355532901","9733049784","9735387512"
"930660704",75.9,43.2,99.9,29.9,48.3
"751145606",30.1,33.9,42,42.6,15.8
"920250111",52.4,37.1,78.9,30.4,59.5
"751197609",61.4,30.1,80,28,28
"930590106",93.7,62.8,120.9,49.5,69.9
"751207801",67.3,40.8,82.8,39.7,31.4
"950180405",69.7,57.2,96.2,48.5,78
"940810304",60.8,56.8,64.1,61.4,31.5
"751207907",59.9,31.8,76.7,31.2,24
"920040302",54.3,27.2,82.4,16.2,48.1
"751135123",44.9,37.6,55.3,42.2,11.6
"954270103",91.1,60.2,118.3,46.8,71.5
"751020801",49.7,20.8,66.8,22.2,15.3
"781580104",52,78.8,51.5,82.4,85
"930460114",116.2,85,133.6,81.1,82.9
"940730110",79.6,78.1,70.2,82.7,52.8
"930050304",101.6,70.4,119,66.5,68.3
"920600106",37.7,63.7,15.2,73.3,47
"781580112",53.8,81.8,52.2,85.4,87.1
"920330102",28.8,50.6,43.9,54.2,61.7
"751197515",65.2,34,83.2,30.5,31.2
"940170501",99.3,79.7,107,81,63.7
"930050401",107.2,76,124.6,72.1,74
"920090112",50,30.4,76.7,23.8,52.8
"930050503",109.7,78.5,127.1,74.6,76.4
"920710107",40.6,58.1,28.3,67.5,37.6
"940170601",102,82.3,109.7,83.7,66.3
"940460102",77.1,61.6,79,65.9,43.1
"930481002",84,58.6,98.5,56.5,48.1
"920070105",37.2,49.5,33.4,56.3,26
"783110502",70,58.7,89.8,52.9,80.7
"940690104",83.4,64.5,90.4,66.4,46.6
"955820103",85.5,61.2,112.2,49.4,81.8
"751197605",61.2,31.1,78.3,28.9,25.9
"751124616",59.1,36.6,71.9,38.5,21.6
"751135016",53.3,40.6,63.7,45,19.3
"751155914",26.2,20.4,47.8,31.2,17.3
"930481001",85.4,59.5,99.9,57.4,49.5
"920510302",37.6,17.9,65.7,19.9,39.2
"930770102",104.2,74.3,119,70.4,68.3
"751052004",44,27,60.6,31.6,7.4
"930630110",80.1,52.8,94.8,50.6,44.2
"920040201",55.3,28.2,83.4,20,49.1
"920120101",12.7,35.7,39,40,43.1
"920230502",31.7,58,9.9,67.5,46
"930060105",72.2,47,86.9,46.6,36.3
"920040102",49.8,25.9,77.9,17.7,46.8
"920760101",40.6,64.7,49.6,68.3,73.6
"783220103",69.1,102.1,43.7,110.7,92.4
"751186911",51.1,17.8,75.1,13.5,29.8
"751124505",62.2,40.8,73.8,42.6,25.6
"940760101",55.3,52.8,59.2,57.3,27.5
"930590104",92.1,59.7,117.8,46.4,66.4
"930310405",81.9,51,109.1,37.6,62.3
"920510309",33.1,20.4,61.2,22.4,42.1
"920730113",34.6,35.3,56.7,38.9,54.2
"955980102",103,73.4,131.2,59.2,88.8
"952100201",93.2,63.6,121.4,49.4,78.2
"920240201",48.1,20,76.3,8.7,40.9
"751186908",49.1,15.8,73.2,11.6,27.4
"940330107",88.9,65.7,103.4,64.9,53
"930570107",104.9,73.6,122.3,69.8,71.6
"751166122",18.9,22.7,46,30.7,30.3
"930290502",92.5,61.3,112.5,53.6,60.2
"785860101",79.8,68.5,101.1,62.7,90.5
"930070119",104.9,73.7,122.3,65.8,71.6
"920440126",44.6,17.6,72.8,11.6,40.4
"920460102",27.2,36.6,37.1,45.5,18.7
"751186922",53.7,19.9,77.7,10.3,32.4
